epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,426.535,1.31624,0.7583,0.95034,0.77614,0.0672481,0.000330827,0.000330827
2,605.49,0.4251,0.71946,0.95575,1.06161,0.0342415,0.000657585,0.000657585
3,772.42,0.49558,0.66792,0.93222,1.53475,0.00122837,0.000977743,0.000977743
4,932.095,0.4698,0.77406,0.94046,0.9163,0.0009703,0.0009703,0.0009703
5,1088.78,0.39953,0.77265,0.93904,1.03125,0.0009604,0.0009604,0.0009604
6,1236.67,0.38502,0.739,0.93222,1.19767,0.0009505,0.0009505,0.0009505
7,1402.11,0.37718,0.77971,0.94634,0.99624,0.0009406,0.0009406,0.0009406
8,1548.36,0.37575,0.79831,0.96117,0.74489,0.0009307,0.0009307,0.0009307
9,1718.3,0.33244,0.75406,0.93504,1.06873,0.0009208,0.0009208,0.0009208
10,1896.45,0.35035,0.82396,0.96023,0.74337,0.0009109,0.0009109,0.0009109
11,2077.81,0.36284,0.80795,0.93693,0.86601,0.000901,0.000901,0.000901
12,2254.78,0.3454,0.7663,0.94069,1.10208,0.0008911,0.0008911,0.0008911
13,2412.47,0.33036,0.79666,0.95246,0.98119,0.0008812,0.0008812,0.0008812
14,2551.82,0.31612,0.76677,0.94234,1.11351,0.0008713,0.0008713,0.0008713
15,2689.57,0.32459,0.81031,0.95222,0.79863,0.0008614,0.0008614,0.0008614
16,2822.97,0.31032,0.78819,0.95317,0.94304,0.0008515,0.0008515,0.0008515
17,2961.5,0.33352,0.81454,0.93387,0.91355,0.0008416,0.0008416,0.0008416
18,3103.25,0.3054,0.80042,0.95175,0.96099,0.0008317,0.0008317,0.0008317
19,3239.61,0.30557,0.79548,0.94516,1.03553,0.0008218,0.0008218,0.0008218
20,3381.96,0.31049,0.79313,0.94446,0.91739,0.0008119,0.0008119,0.0008119
21,3522.11,0.27846,0.82466,0.94987,0.77344,0.000802,0.000802,0.000802
22,3657.87,0.30029,0.7936,0.94022,0.97909,0.0007921,0.0007921,0.0007921
23,3799.42,0.27801,0.82113,0.94916,0.85271,0.0007822,0.0007822,0.0007822
24,3933.58,0.29295,0.80537,0.95199,1.01215,0.0007723,0.0007723,0.0007723
25,4071.53,0.28688,0.81619,0.95011,0.87609,0.0007624,0.0007624,0.0007624
