epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,208.127,1.16552,0.6798,0.90765,1.13547,0.0672063,0.00033125,0.00033125
2,411.71,0.5564,0.64784,0.89902,1.29854,0.0341997,0.000658004,0.000658004
3,623.829,0.66593,0.64784,0.9049,1.5187,0.00118649,0.000978158,0.000978158
4,832.951,0.67404,0.70059,0.91137,1.0906,0.0009703,0.0009703,0.0009703
5,983.779,0.62127,0.70294,0.91843,1.12554,0.0009604,0.0009604,0.0009604
6,1138.7,0.58692,0.70412,0.92392,1.15222,0.0009505,0.0009505,0.0009505
7,1306.06,0.56704,0.6949,0.91686,1.29702,0.0009406,0.0009406,0.0009406
8,1470.69,0.54201,0.65725,0.89294,1.41045,0.0009307,0.0009307,0.0009307
9,1640.75,0.53132,0.69039,0.89902,1.25684,0.0009208,0.0009208,0.0009208
10,1827.23,0.57551,0.70627,0.91255,1.16978,0.0009109,0.0009109,0.0009109
11,1996.42,0.52387,0.71098,0.91039,1.08911,0.000901,0.000901,0.000901
12,2162.85,0.4985,0.68627,0.90471,1.43354,0.0008911,0.0008911,0.0008911
13,2331.21,0.53221,0.68804,0.91784,1.18374,0.0008812,0.0008812,0.0008812
14,2552.71,0.4925,0.68588,0.91216,1.35356,0.0008713,0.0008713,0.0008713
15,2750.44,0.48342,0.69549,0.89843,1.33218,0.0008614,0.0008614,0.0008614
16,2956.39,0.5068,0.71451,0.92196,1.18164,0.0008515,0.0008515,0.0008515
17,3157.01,0.47214,0.70882,0.92451,1.1095,0.0008416,0.0008416,0.0008416
18,3317.97,0.48899,0.69412,0.90392,1.39434,0.0008317,0.0008317,0.0008317
19,3479.17,0.46014,0.68941,0.90412,1.36011,0.0008218,0.0008218,0.0008218
20,3685.75,0.44639,0.72431,0.9198,1.15605,0.0008119,0.0008119,0.0008119
21,3883.3,0.42723,0.74196,0.92765,1.06382,0.000802,0.000802,0.000802
22,4107.97,0.43019,0.72843,0.92314,1.14517,0.0007921,0.0007921,0.0007921
23,4311.07,0.43548,0.74157,0.93078,1.07795,0.0007822,0.0007822,0.0007822
