epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
24,4521.42,0.42651,0.74706,0.91863,1.01963,0.0007723,0.0007723,0.0007723
25,4714.72,0.40157,0.75314,0.93667,0.94873,0.0007624,0.0007624,0.0007624
26,4926.73,0.40249,0.76549,0.9402,0.90469,0.0007525,0.0007525,0.0007525
27,5126.66,0.39234,0.74196,0.93667,1.06396,0.0007426,0.0007426,0.0007426
28,5343.37,0.38344,0.76941,0.93725,0.94561,0.0007327,0.0007327,0.0007327
29,5525.96,0.37301,0.75843,0.92608,1.10969,0.0007228,0.0007228,0.0007228
30,5681.68,0.37109,0.76529,0.94196,0.99275,0.0007129,0.0007129,0.0007129
31,5871.12,0.37599,0.75549,0.92294,1.14141,0.000703,0.000703,0.000703
32,6087.09,0.35662,0.73804,0.92431,1.1676,0.0006931,0.0006931,0.0006931
33,6293.19,0.34128,0.76392,0.92686,0.99468,0.0006832,0.0006832,0.0006832
34,6513.55,0.33833,0.77216,0.94314,1.02358,0.0006733,0.0006733,0.0006733
35,6717.02,0.33321,0.75961,0.93353,1.15076,0.0006634,0.0006634,0.0006634
36,6938.63,0.30603,0.77255,0.94059,1.02317,0.0006535,0.0006535,0.0006535
37,7149.81,0.31733,0.77373,0.9402,1.03789,0.0006436,0.0006436,0.0006436
38,7375.1,0.32358,0.78333,0.94412,0.86744,0.0006337,0.0006337,0.0006337
39,7564.4,0.31589,0.79471,0.93765,0.94094,0.0006238,0.0006238,0.0006238
40,7786.32,0.27553,0.78863,0.93157,0.9905,0.0006139,0.0006139,0.0006139
41,7964.48,0.2972,0.78196,0.94608,0.93269,0.000604,0.000604,0.000604
42,8188.69,0.29231,0.78569,0.93294,0.9939,0.0005941,0.0005941,0.0005941
43,8374.21,0.29293,0.80275,0.94137,0.9219,0.0005842,0.0005842,0.0005842
44,8533.32,0.25497,0.79725,0.93882,0.91868,0.0005743,0.0005743,0.0005743
45,8724.76,0.28253,0.79667,0.93863,0.92979,0.0005644,0.0005644,0.0005644
46,8903.58,0.25555,0.79961,0.95196,0.88486,0.0005545,0.0005545,0.0005545
47,9062.32,0.25802,0.79706,0.94412,0.93848,0.0005446,0.0005446,0.0005446
48,9226.58,0.25655,0.78784,0.94353,0.96238,0.0005347,0.0005347,0.0005347
49,9383.74,0.2457,0.79843,0.9498,0.84077,0.0005248,0.0005248,0.0005248
50,9540.64,0.23162,0.79784,0.93843,0.94041,0.0005149,0.0005149,0.0005149
51,9692.59,0.2215,0.80294,0.93902,0.97375,0.000505,0.000505,0.000505
52,9848.69,0.22672,0.80039,0.94627,0.88821,0.0004951,0.0004951,0.0004951
53,10006,0.24156,0.78784,0.94235,0.96736,0.0004852,0.0004852,0.0004852
54,10188.5,0.2239,0.79392,0.94373,0.95928,0.0004753,0.0004753,0.0004753
55,10357.4,0.21213,0.79804,0.93647,0.98145,0.0004654,0.0004654,0.0004654
56,10547.5,0.21023,0.78882,0.94098,0.98271,0.0004555,0.0004555,0.0004555
57,10713.9,0.18485,0.79706,0.94549,0.93323,0.0004456,0.0004456,0.0004456
58,10870.3,0.20403,0.80627,0.94725,0.88723,0.0004357,0.0004357,0.0004357
59,11065.8,0.17577,0.81196,0.95275,0.87305,0.0004258,0.0004258,0.0004258
60,11271.1,0.17618,0.80745,0.94059,0.97288,0.0004159,0.0004159,0.0004159
61,11433.7,0.18195,0.80667,0.94294,0.9447,0.000406,0.000406,0.000406
62,11589.3,0.17217,0.80451,0.94667,0.95039,0.0003961,0.0003961,0.0003961
63,11788.1,0.16877,0.79137,0.93902,0.9467,0.0003862,0.0003862,0.0003862
64,11986,0.18582,0.79549,0.94314,0.98276,0.0003763,0.0003763,0.0003763
65,12188.3,0.16497,0.80078,0.94922,0.92432,0.0003664,0.0003664,0.0003664
66,12355.9,0.15895,0.80608,0.95098,0.92073,0.0003565,0.0003565,0.0003565
67,12540.1,0.15001,0.80392,0.9449,0.95571,0.0003466,0.0003466,0.0003466
68,12763.5,0.14436,0.81098,0.94431,0.92197,0.0003367,0.0003367,0.0003367
69,12964.8,0.13889,0.81353,0.94725,0.91895,0.0003268,0.0003268,0.0003268
70,13176.7,0.14723,0.81098,0.95,0.9042,0.0003169,0.0003169,0.0003169
71,13376,0.13332,0.80235,0.95314,0.9249,0.000307,0.000307,0.000307
72,13588.9,0.13585,0.79804,0.95176,0.93701,0.0002971,0.0002971,0.0002971
73,13769.3,0.13711,0.80647,0.95373,0.91074,0.0002872,0.0002872,0.0002872
74,13979.4,0.11597,0.81039,0.95333,0.90784,0.0002773,0.0002773,0.0002773
