epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,132.719,1.00233,0.77619,0.95786,0.76963,0.0671255,0.000332066,0.000332066
2,243.704,0.24072,0.91333,0.99488,0.29807,0.0341189,0.000658812,0.000658812
3,360.834,0.33386,0.8394,0.98893,0.7258,0.0011057,0.000978958,0.000978958
4,483.399,0.31387,0.95512,0.9969,0.1629,0.0009703,0.0009703,0.0009703
5,607.77,0.28375,0.96595,0.99738,0.11443,0.0009604,0.0009604,0.0009604
6,717.005,0.24793,0.95619,0.99369,0.15841,0.0009505,0.0009505,0.0009505
7,830.067,0.29398,0.96345,0.9969,0.12047,0.0009406,0.0009406,0.0009406
8,922.498,0.25058,0.97131,0.99857,0.09923,0.0009307,0.0009307,0.0009307
9,1012.97,0.23722,0.97548,0.99881,0.08198,0.0009208,0.0009208,0.0009208
10,1118.72,0.26328,0.97393,0.99845,0.0775,0.0009109,0.0009109,0.0009109
11,1243.35,0.23708,0.97643,0.99929,0.07313,0.000901,0.000901,0.000901
12,1336.91,0.22995,0.98631,0.99893,0.04319,0.0008911,0.0008911,0.0008911
13,1430.18,0.24381,0.96881,0.99833,0.11671,0.0008812,0.0008812,0.0008812
14,1541.29,0.23168,0.98369,0.99869,0.05414,0.0008713,0.0008713,0.0008713
15,1636.17,0.20482,0.98607,0.99964,0.03842,0.0008614,0.0008614,0.0008614
16,1727.46,0.23673,0.99333,0.99976,0.02275,0.0008515,0.0008515,0.0008515
17,1819.46,0.22205,0.98679,0.99976,0.04483,0.0008416,0.0008416,0.0008416
18,1926.45,0.19774,0.99238,0.99976,0.02682,0.0008317,0.0008317,0.0008317
19,2050.89,0.22271,0.9894,0.99988,0.036,0.0008218,0.0008218,0.0008218
20,2176.05,0.19886,0.99464,0.99988,0.01799,0.0008119,0.0008119,0.0008119
21,2299.96,0.19442,0.99512,0.99988,0.01532,0.000802,0.000802,0.000802
22,2424.92,0.2065,0.9956,0.99988,0.01369,0.0007921,0.0007921,0.0007921
23,2550.82,0.18651,0.9975,1,0.00922,0.0007822,0.0007822,0.0007822
24,2676.02,0.18477,0.99726,0.99988,0.00887,0.0007723,0.0007723,0.0007723
25,2801.64,0.18614,0.99881,0.99964,0.0067,0.0007624,0.0007624,0.0007624
26,2905.28,0.17263,0.99833,0.99988,0.00623,0.0007525,0.0007525,0.0007525
27,2997.32,0.17516,0.99833,1,0.00451,0.0007426,0.0007426,0.0007426
28,3092.2,0.16921,0.99905,1,0.00421,0.0007327,0.0007327,0.0007327
29,3187.9,0.16584,0.99893,1,0.00385,0.0007228,0.0007228,0.0007228
30,3281.25,0.16747,0.99952,0.99988,0.00237,0.0007129,0.0007129,0.0007129
31,3375.7,0.15439,0.99964,1,0.00199,0.000703,0.000703,0.000703
32,3467.52,0.16741,0.99917,0.99988,0.0029,0.0006931,0.0006931,0.0006931
33,3569.09,0.15658,0.99952,1,0.00297,0.0006832,0.0006832,0.0006832
34,3661.37,0.14545,0.9994,1,0.00174,0.0006733,0.0006733,0.0006733
35,3754.31,0.14747,0.99905,1,0.00239,0.0006634,0.0006634,0.0006634
36,3848.45,0.14341,0.99929,1,0.00236,0.0006535,0.0006535,0.0006535
37,3948.11,0.12444,0.99952,1,0.00144,0.0006436,0.0006436,0.0006436
38,4069.76,0.14159,0.99952,0.99988,0.00172,0.0006337,0.0006337,0.0006337
39,4194.12,0.12877,0.99952,0.99988,0.00203,0.0006238,0.0006238,0.0006238
40,4319.53,0.11939,0.99976,1,0.00084,0.0006139,0.0006139,0.0006139
41,4444,0.13377,0.99964,1,0.00085,0.000604,0.000604,0.000604
42,4570.42,0.12126,0.99976,1,0.00106,0.0005941,0.0005941,0.0005941
43,4670.23,0.10965,0.99976,1,0.00112,0.0005842,0.0005842,0.0005842
44,4785.54,0.11787,0.99976,1,0.00066,0.0005743,0.0005743,0.0005743
45,4911.7,0.12127,0.99952,1,0.001,0.0005644,0.0005644,0.0005644
46,5034.88,0.11038,0.99964,1,0.00098,0.0005545,0.0005545,0.0005545
47,5158.25,0.10178,0.99964,1,0.00071,0.0005446,0.0005446,0.0005446
48,5283.97,0.10397,1,1,0.00057,0.0005347,0.0005347,0.0005347
49,5409.12,0.10214,1,1,0.00039,0.0005248,0.0005248,0.0005248
50,5532.76,0.10771,0.99976,1,0.00042,0.0005149,0.0005149,0.0005149
51,5656.22,0.09989,1,1,0.0004,0.000505,0.000505,0.000505
52,5779.19,0.09678,1,1,0.00036,0.0004951,0.0004951,0.0004951
53,5904.8,0.09524,1,1,0.00038,0.0004852,0.0004852,0.0004852
54,6029.56,0.08986,1,1,0.00048,0.0004753,0.0004753,0.0004753
55,6155.15,0.07854,1,1,0.00047,0.0004654,0.0004654,0.0004654
56,6279.07,0.08992,1,1,0.00047,0.0004555,0.0004555,0.0004555
57,6403.68,0.09066,1,1,0.00046,0.0004456,0.0004456,0.0004456
58,6528.73,0.07434,0.99976,1,0.00049,0.0004357,0.0004357,0.0004357
59,6651.9,0.07806,0.99976,1,0.00051,0.0004258,0.0004258,0.0004258
60,6776.99,0.07143,0.99976,1,0.00046,0.0004159,0.0004159,0.0004159
61,6902.86,0.06978,0.99976,1,0.00043,0.000406,0.000406,0.000406
62,7025.35,0.07833,0.99976,1,0.00044,0.0003961,0.0003961,0.0003961
63,7150.35,0.06723,0.99976,1,0.00046,0.0003862,0.0003862,0.0003862
64,7268.46,0.06642,0.99976,1,0.00045,0.0003763,0.0003763,0.0003763
65,7394.27,0.07246,0.99976,1,0.00044,0.0003664,0.0003664,0.0003664
66,7519.39,0.05858,0.99976,1,0.00043,0.0003565,0.0003565,0.0003565
67,7644.41,0.05598,0.99976,1,0.0004,0.0003466,0.0003466,0.0003466
68,7769.71,0.06541,0.99976,1,0.00039,0.0003367,0.0003367,0.0003367
69,7895.19,0.05962,0.99976,1,0.0004,0.0003268,0.0003268,0.0003268
70,8022,0.06077,0.99976,1,0.0004,0.0003169,0.0003169,0.0003169
71,8147.82,0.04298,0.99976,1,0.00039,0.000307,0.000307,0.000307
72,8277.4,0.05206,0.99976,1,0.00039,0.0002971,0.0002971,0.0002971
