epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.8675,0.92107,0.93488,0.99717,0.18559,0.0671864,0.00033145,0.00033145
2,164.214,0.2013,0.8894,0.98567,0.41442,0.0341799,0.000658202,0.000658202
3,241.486,0.25987,0.95204,0.99823,0.16317,0.00116668,0.000978354,0.000978354
4,333.465,0.26162,0.91754,0.99381,0.31259,0.0009703,0.0009703,0.0009703
5,432.429,0.21088,0.96461,0.99947,0.12915,0.0009604,0.0009604,0.0009604
6,533.518,0.21168,0.96602,0.99858,0.11673,0.0009505,0.0009505,0.0009505
7,634.265,0.20336,0.9501,0.99593,0.16359,0.0009406,0.0009406,0.0009406
8,711.212,0.2182,0.93771,0.99717,0.22418,0.0009307,0.0009307,0.0009307
9,788.765,0.2146,0.9869,0.99965,0.04641,0.0009208,0.0009208,0.0009208
10,864.828,0.17974,0.92851,0.99027,0.26346,0.0009109,0.0009109,0.0009109
11,940.732,0.2178,0.98071,0.99912,0.05789,0.000901,0.000901,0.000901
12,1016.44,0.18363,0.9862,0.99965,0.03804,0.0008911,0.0008911,0.0008911
13,1092.36,0.19768,0.98673,0.99912,0.04481,0.0008812,0.0008812,0.0008812
14,1181.19,0.18895,0.9816,0.99982,0.04898,0.0008713,0.0008713,0.0008713
15,1273.08,0.21279,0.97841,0.99929,0.0794,0.0008614,0.0008614,0.0008614
16,1368.52,0.17173,0.99009,0.99947,0.04421,0.0008515,0.0008515,0.0008515
17,1460.26,0.17871,0.98213,0.99912,0.05716,0.0008416,0.0008416,0.0008416
18,1547.33,0.18549,0.98655,0.99982,0.03658,0.0008317,0.0008317,0.0008317
19,1647.08,0.16737,0.98637,0.99982,0.03775,0.0008218,0.0008218,0.0008218
20,1727.27,0.16821,0.98921,0.99982,0.03512,0.0008119,0.0008119,0.0008119
21,1812.93,0.16505,0.98266,0.99982,0.05128,0.000802,0.000802,0.000802
22,1891.84,0.18441,0.99363,0.99982,0.02099,0.0007921,0.0007921,0.0007921
23,1975.42,0.15225,0.99151,0.99982,0.02583,0.0007822,0.0007822,0.0007822
24,2055.97,0.14927,0.99487,1,0.01348,0.0007723,0.0007723,0.0007723
25,2142.34,0.17112,0.99487,0.99982,0.01771,0.0007624,0.0007624,0.0007624
26,2218.13,0.1416,0.98319,0.99929,0.05242,0.0007525,0.0007525,0.0007525
27,2293.38,0.17144,0.99858,1,0.00573,0.0007426,0.0007426,0.0007426
28,2369.66,0.14436,0.99115,1,0.03187,0.0007327,0.0007327,0.0007327
29,2446.88,0.15373,0.99858,1,0.00803,0.0007228,0.0007228,0.0007228
30,2525.26,0.11256,0.99735,1,0.00871,0.0007129,0.0007129,0.0007129
31,2602.78,0.15139,0.99894,1,0.00517,0.000703,0.000703,0.000703
32,2694.35,0.15623,0.99805,1,0.00468,0.0006931,0.0006931,0.0006931
33,2786.13,0.11825,0.99858,1,0.00538,0.0006832,0.0006832,0.0006832
34,2875.31,0.12444,0.99681,1,0.01222,0.0006733,0.0006733,0.0006733
35,2976.9,0.13574,0.99664,1,0.01052,0.0006634,0.0006634,0.0006634
36,3075.05,0.12027,0.99876,1,0.00361,0.0006535,0.0006535,0.0006535
37,3166.21,0.13539,0.99858,1,0.0046,0.0006436,0.0006436,0.0006436
38,3269.26,0.10208,0.99965,0.99982,0.00214,0.0006337,0.0006337,0.0006337
39,3370.34,0.12372,0.99912,1,0.00376,0.0006238,0.0006238,0.0006238
40,3467.03,0.09756,0.99947,1,0.003,0.0006139,0.0006139,0.0006139
41,3561.06,0.12708,0.99982,1,0.00131,0.000604,0.000604,0.000604
42,3638.19,0.09395,1,1,0.00074,0.0005941,0.0005941,0.0005941
43,3733.41,0.10579,0.99982,1,0.00054,0.0005842,0.0005842,0.0005842
44,3830.21,0.09814,0.99965,1,0.00258,0.0005743,0.0005743,0.0005743
45,3929.76,0.09925,0.99929,1,0.00253,0.0005644,0.0005644,0.0005644
46,4032.72,0.09614,0.99982,1,0.00077,0.0005545,0.0005545,0.0005545
47,4138.07,0.09805,0.99982,1,0.00082,0.0005446,0.0005446,0.0005446
48,4241.5,0.07965,0.99982,1,0.00094,0.0005347,0.0005347,0.0005347
49,4344.81,0.10551,0.99965,1,0.00113,0.0005248,0.0005248,0.0005248
50,4447.17,0.07496,0.99982,1,0.00038,0.0005149,0.0005149,0.0005149
51,4539.75,0.0842,0.99982,1,0.00037,0.000505,0.000505,0.000505
52,4616.28,0.08188,1,1,0.00031,0.0004951,0.0004951,0.0004951
53,4695.87,0.08538,1,1,0.00027,0.0004852,0.0004852,0.0004852
54,4796,0.08091,0.99947,1,0.00075,0.0004753,0.0004753,0.0004753
55,4890.83,0.08539,0.99982,1,0.00063,0.0004654,0.0004654,0.0004654
56,4994.2,0.06438,0.99982,1,0.00034,0.0004555,0.0004555,0.0004555
57,5078.97,0.07949,1,1,0.00012,0.0004456,0.0004456,0.0004456
58,5163.66,0.0557,1,1,8e-05,0.0004357,0.0004357,0.0004357
59,5249.73,0.06805,1,1,0.00017,0.0004258,0.0004258,0.0004258
60,5337.51,0.07298,1,1,0.00011,0.0004159,0.0004159,0.0004159
61,5427.59,0.06369,1,1,9e-05,0.000406,0.000406,0.000406
62,5531.05,0.05566,1,1,8e-05,0.0003961,0.0003961,0.0003961
63,5621.98,0.05132,1,1,0.00011,0.0003862,0.0003862,0.0003862
64,5726.16,0.05434,1,1,7e-05,0.0003763,0.0003763,0.0003763
65,5827.71,0.05684,1,1,0.00015,0.0003664,0.0003664,0.0003664
66,5904.7,0.05438,1,1,0.00013,0.0003565,0.0003565,0.0003565
67,5989.12,0.05211,1,1,6e-05,0.0003466,0.0003466,0.0003466
68,6078.08,0.0399,1,1,6e-05,0.0003367,0.0003367,0.0003367
69,6155.38,0.04338,1,1,8e-05,0.0003268,0.0003268,0.0003268
70,6244,0.05791,1,1,8e-05,0.0003169,0.0003169,0.0003169
71,6326.16,0.03829,1,1,7e-05,0.000307,0.000307,0.000307
72,6426.51,0.04755,1,1,8e-05,0.0002971,0.0002971,0.0002971
73,6528.13,0.04269,1,1,6e-05,0.0002872,0.0002872,0.0002872
74,6618.02,0.04116,1,1,5e-05,0.0002773,0.0002773,0.0002773
75,6708.03,0.03109,1,1,4e-05,0.0002674,0.0002674,0.0002674
76,6799.98,0.02836,1,1,3e-05,0.0002575,0.0002575,0.0002575
77,6901.56,0.03043,1,1,3e-05,0.0002476,0.0002476,0.0002476
78,7005.18,0.03671,1,1,4e-05,0.0002377,0.0002377,0.0002377
79,7108.5,0.03325,1,1,3e-05,0.0002278,0.0002278,0.0002278
80,7202.04,0.02855,1,1,3e-05,0.0002179,0.0002179,0.0002179
81,7277.82,0.02554,1,1,3e-05,0.000208,0.000208,0.000208
82,7364.01,0.02298,1,1,2e-05,0.0001981,0.0001981,0.0001981
83,7467.75,0.02228,1,1,2e-05,0.0001882,0.0001882,0.0001882
84,7546.9,0.02132,1,1,3e-05,0.0001783,0.0001783,0.0001783
85,7631.69,0.02017,1,1,4e-05,0.0001684,0.0001684,0.0001684
86,7710.26,0.01869,1,1,4e-05,0.0001585,0.0001585,0.0001585
87,7811.98,0.0191,1,1,5e-05,0.0001486,0.0001486,0.0001486
88,7909.8,0.01643,1,1,6e-05,0.0001387,0.0001387,0.0001387
89,7988.2,0.01317,1,1,6e-05,0.0001288,0.0001288,0.0001288
90,8073.13,0.01724,1,1,5e-05,0.0001189,0.0001189,0.0001189
91,8174.16,0.01177,1,1,5e-05,0.000109,0.000109,0.000109
92,8250.49,0.01115,1,1,5e-05,9.91e-05,9.91e-05,9.91e-05
93,8342.66,0.01063,1,1,5e-05,8.92e-05,8.92e-05,8.92e-05
94,8434.33,0.00825,1,1,5e-05,7.93e-05,7.93e-05,7.93e-05
95,8514.67,0.00765,1,1,4e-05,6.94e-05,6.94e-05,6.94e-05
96,8603.42,0.00541,1,1,4e-05,5.95e-05,5.95e-05,5.95e-05
97,8692.14,0.00592,1,1,4e-05,4.96e-05,4.96e-05,4.96e-05
98,8792.93,0.00555,1,1,4e-05,3.97e-05,3.97e-05,3.97e-05
99,8868.47,0.00575,1,1,4e-05,2.98e-05,2.98e-05,2.98e-05
100,8944.9,0.00406,1,1,4e-05,1.99e-05,1.99e-05,1.99e-05
